author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,,,
@warungnasigorengjaya6833,FALSE,UgxYkr9QD-z8lYFIWtR4AaABAg,Saya beli motor 22-09-2024 kebetulan pas beli tidak cek masalah E-TLE..cuma cek stnk bpkb paja hidup sampai bulan 7-2025 dan tahuna 7-1026,5 days ago,0,https://www.youtube.com/watch?v=3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,3-5PtzG3obI,0,comment,,,
Masalahnya dibulan ke 6-2025 ini saamau perpnjang stnk/pajak ternyata tidak bisa karna ada pemblokiran stnk dikarenakan kena E-TLE di bulan 5-2024..,malah 1 tahun berikutnya di 2025 motor udah dibeli saya tapi saya gak bisa perpanjang/balik nama..?,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,10 days ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
Pertanyaan saya kenapa orang awal bisa perpanjang pajak dibulan 7 tanpa harus bayar E-TLE yg dibulan 5,487,UgxgEwF_xg9Y1S4ukOd4AaABAg,Berak sekebon. Gak ada surat dateng. Tau2 mau bayar pajak gak bisa. Orang2 di jalan juga banyak yg palsuin plat nomor. Orang gk tau apa2 tiba2 kena tilang. Semoga sistemnya lebih baik lagi ke depannya.,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,13 days ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
"Mohon bantuannya yg tau dngan masalah saya🙏""",FALSE,Ugx2OMipzmMnn1uCX1R4AaABAg,Apa maksudnya ini habis ngerti sudah itu GK ngetti,2 weeks ago,0,https://www.youtube.com/watch?v=3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,W1EuhKiHBhA,0,comment,,,
@Tyo7325,FALSE,Ugykl2eFeI4RgJ3HrJl4AaABAg,Pak klo gda dapat surat tilang etle nya,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 weeks ago,0,comment,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@VIDEOONTHEGO-y3b,FALSE,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@randidonovan7145,487,UgyP0wWc4MzU49dEu9R4AaABAg,Pak mau tanya saya sudah konfirmasi etle  secara online tapi kok belom di kirim no brivanya?,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
Ga dapat sms tilang juga,FALSE,UgwKniUMkLV52Kc8q2h4AaABAg,haram bagi gw bayar tilang dan pajak,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgyqTHYLda_DBExA2lV4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
"Tapi pas cek stnk kena blokiran karna etle dan di cek di web elte nya setelah masukan data kendaraan tapi tidak muncul kita kena dimana ga ada muncul itu gimana ya pak.""",FALSE,UgwQRTl8ZWd9F0prPOB4AaABAg,"Ini di rekam aja, klo ngga di rekam 99% ngga mau di urus",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
a,FALSE,UgzrCZUMSrGD6QU3eXN4AaABAg,Kenapa ngga di gedung dpr mpr yg kerja ngga benar buat di denda jangan rakyat kecil hukumnya tegas,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
