author,authorIsChannelOwner,comment
@warungnasigorengjaya6833,FALSE,Saya beli motor 22-09-2024 kebetulan pas beli tidak cek masalah E-TLE..cuma cek stnk bpkb paja hidup sampai bulan 7-2025 dan tahuna 7-1026
Masalahnya dibulan ke 6-2025 ini saamau perpnjang stnk/pajak ternyata tidak bisa karna ada pemblokiran stnk dikarenakan kena E-TLE di bulan 5-2024..,malah 1 tahun berikutnya di 2025 motor udah dibeli saya tapi saya gak bisa perpanjang/balik nama..?,https://www.youtube.com/watch?v=3-5PtzG3obI
Pertanyaan saya kenapa orang awal bisa perpanjang pajak dibulan 7 tanpa harus bayar E-TLE yg dibulan 5,487,Berak sekebon. Gak ada surat dateng. Tau2 mau bayar pajak gak bisa. Orang2 di jalan juga banyak yg palsuin plat nomor. Orang gk tau apa2 tiba2 kena tilang. Semoga sistemnya lebih baik lagi ke depannya.
"Mohon bantuannya yg tau dngan masalah saya🙏""",FALSE,Apa maksudnya ini habis ngerti sudah itu GK ngetti
@Tyo7325,FALSE,Pak klo gda dapat surat tilang etle nya
@VIDEOONTHEGO-y3b,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@randidonovan7145,487,Pak mau tanya saya sudah konfirmasi etle  secara online tapi kok belom di kirim no brivanya?
Ga dapat sms tilang juga,FALSE,haram bagi gw bayar tilang dan pajak
"Tapi pas cek stnk kena blokiran karna etle dan di cek di web elte nya setelah masukan data kendaraan tapi tidak muncul kita kena dimana ga ada muncul itu gimana ya pak.""",FALSE,"Ini di rekam aja, klo ngga di rekam 99% ngga mau di urus"
a,FALSE,Kenapa ngga di gedung dpr mpr yg kerja ngga benar buat di denda jangan rakyat kecil hukumnya tegas
@antoniofrans355,FALSE,Kenapa GK di Samsat sekalian? Bukankah itu bikin ribet dan bikin orang malas pajak?
@hendyramadhani7767,FALSE,Nah kalau saya enggak tau atau menerima surat tilang tiba2 ingin bayar pajak nih!  Tau2 ada kena tilang sebulan yang lalu atau 2 bulan yang lalu bagaimana caranya
@hendyramadhani7767,FALSE,"Senyumnya polisi ,deritanya Rakyat"
@gonbatosa1,FALSE,Klo ga dpt surat cinta nya gmn mas sy tau nya pas mau bayar pajak
@syapiihbinridwanbinridwan9031,FALSE,gw ga dpt surat tp pas di cek aja kan kocak haha
@vampsvasam7485,FALSE,"Bila salah tilang, bukan kendaraan kita bagaimana cara pembatalan nya pak"
@LiaAmalia-z9i,FALSE,"Tiga bulan lalu saya kesitu..krn paksu kena di Kemayoran,bolak balik sana sini dtg ke bbrp kantor demi bisa bayar pajak..oh my good, byr pajak nya gak seberapa ..mahal an tilang dan ngurusnya nya...🤦"
@zakiabidinsumantri6609,FALSE,kalau ngga pernah dapet surat tilang gimana ya? saaya tau nya pas cek sendiri di web tapi belom pernah terima surat
@medianalherfin,FALSE,"Saya kena tilang2024 dan baru tau saat mau bayar pajak tp tidak ada surat yg dikirim kerumah, trs kalau mau perpanjang stnk gmn??"
@dhalelah,FALSE,"Kasihan masyarakat yg susah dibikin bingung, birokrasinya rumit."
@faisalrahmat5945,FALSE,Saya cek kena e tilanh surat cinta nya om terkirim
@Sanjani-d4f,FALSE,"saya kena tilang tgl 17 april.. sampe sekarang tgl 26 april, sy blm mendapat surat cintanya.. gimna mau konfirmasi ny pak?"
@suhandiandi7319,FALSE,Mendgn pake plat mati tp original
@ramdani7205,FALSE,gimana kasus sambo pakde kok gak dihukum mati
@syellaafriliyani6160,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA
@bonifaciuspribion8200,687,2 /3 tahun yg akan datang adan ada penumpukan motor dan mobil di.. negara ini kaya dari hasil bumi.
@JatiDiri-i5m,FALSE,Canggih yaaa... Buat ngecek Ijazah palsu bisa ga pak??
"menghilangkan nyawa seseorang""",FALSE,"gak percaya sih sistem nya sudah canggih , app sama situs nya aja gak ada yg beres"
@Cahyanakbontot,FALSE,"Kalau mau masyarakat tertib, petugas yg dipelayanan Samsat juga ditertibkan yg mempersulit masyarakat. Masyarakat juga sudah tau diplat SDH tertanam chip seperti di Ktp dan SIM🤭"
@iwannyster362,FALSE,Pake smart filem 😂 gak keliatan kamera cukup pake tonbol😂
@ardiansyah-rh6db,FALSE,"mau canggih kek mau canggoh kek,ga peduli.tangkep aja pake kamera ga bakal gw bayar denda tilangnya.mnding duitnya buat beli krupuk😂😂😂"
@sinau-_-,FALSE,Halah emang e tilang diawasi? Kemaren saja ada motor vario yg kena e tilang padahal potonya revo 😂
@bangjayoung9695,FALSE,Maklum gaji bulanan gak cukup ... Makanya cari cara biar ada tambahan ....
@raikopet,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA
@WechaosAmv,687,Saya gak percaya kepolisian indo punya alat secanggih itu😅
@edisugiarno1856,FALSE,FALSE
"Ya ini hasilnya ....""",FALSE,BODO NANAN.
@Movieevic91,FALSE,"Pak pak, Sekarang 1 KENDARAAN 2 SURAT sudah ada, dan itu pun Resmi, ini kerja sama antara  pembeli dan perusahaan Sowrum😂"
Kan uang nya banyak di korup sama oknum,FALSE,"Wah masih banyak plat mati, gak punya sim, motor bodong jakarta mah masih aman2 saja"
@ecooceproject8593,FALSE,Nguntungin polisi
@ariirmawan5606,FALSE,Cepet bangat dapat duit gede pak..
@ivi221xxl6,FALSE,Apakah mampu mengecek plat nmr palsu dari sekian banyaknya kendaraan bahkan ribuan yang melintas di jalanan.?
@iffrmansyah10,FALSE,Ga percayaaa boonggg
@denisurnadi-l5p,FALSE,Hidup makin susah.ditambah lagi bikin beban rakuat kecil sperti ojol
@nanasuhana7931,FALSE,Plat mobil gw ada yang pakai gimna tu
@SherinaAmandasari,FALSE,Enak jamanku to
@jakapriyadi110,FALSE,Aku udah 2 kali  belum kirm surat cinta😂😂
@Zamanzaman-f4u,FALSE,Bayarnya berapa ga pk helm lawan arah.
@Arif-ne6zw,FALSE,kalo misal kita cek ada kena tilang.. tp gk dapet surat itu gimana yaa untuk kita tau blangko tilang kitaa..
@ardiriyanto6821,FALSE,"Konfirmasi kena tilang atau engga,harus ada kiriman surat tilang ETLE.ke rumah kita tinggal klik konfirmasi nomor referensi yg udah ada di.kop surat koarlantas...masalah nya tidak semua masyarakat yg di beritahu terkena tilang ETLE,,tiba tiba pada saat perpanjang stnk pajak di samsat mana pun"
@Ahmadyani-b6g,487,https://www.youtube.com/watch?v=3-5PtzG3obI
@MAliMuhson-c4n,FALSE,Klo ngk dpt surat cinta gimana. Tau2pas bayar pajak kena denda pusying
@goabdulabdul926,FALSE,"ijin tanya dong, saya baru ini setelah ngecek di web ternyata ada pelanggaran yang saya lakuin, tapi gaada surat panggilan yang dateng,  dan ini pun ternyata sudah lebih dari 1 bulan, bagaimana cara saya menyelesaikan urusan tilangnya jika tidak ada surat tilang yang datang ke rumah?"
"Barulah di ketahui bahwa anda stnk terblokir.""",FALSE,Ada yg kena tilang etle sampe 61 kali berapa bayarnya itu
@ekkaasihsalam1119,FALSE,"Klo belom dapet aplop ,gk ada nomor refrensi ya kak"
@hssstayjoy,FALSE,"Nah ini saya udah konfirmasi di web etle, skrg udh 4 hari lwat dari tgl btas konfirmasi tp belum dapat balasan tentang tilangnya, saya cek di web etle kode referensi tilang saya tidak ditemukan, ini gimana ya?"
@arisgrab8481,FALSE,Klo ga dpt surat cinta slama 2thn gmna tuh pak tetep ada denda juga ?
@KuroJakarta,FALSE,RIBET AMAT SIH SISTEM NYA KALAU DI BLOKIR HARUS DATANG KE POSKO ETLE BUAT AMBIL SURAT BLOKIR.. HARUSNYA BISA DI URUS LEWAT ONLINE JUGA SURAT BLOKIR NYA.. KAN JAUH DAN BUANG WAKTU KALAU KITA KERJA DI OMELIN ATASAN..
